11110,10100,1101210,
11102,10201,1100211,
12021,2122,1021110,
12102,1102,1011100,
12110,10200,1010111,
12011,10122,1002212,
20201,2112,221111,
20110,1212,211122,
12220,2001,210101,
12100,12100,210020,
11110,20112,210100,
2200,11220,211110,
2001,12212,212101,
210,11102,220212,
102002022201221111100,11010,222210,
102002022201221102010,100101,1001101,
102002022201221011200,2020,1010201,
102002022201221010102,12222,1100122,
102002022201220221222,11012,1222200,
102002022201221000110,102002022201221110112,2021211,
102002022201221020121,102002022201221110020,1221200,
1120,1222,1102100,
2110,2122,1102022,
11121,10111,1110202,
12010,11220,1121210,
12112,12222,1202100,
20110,21012,1202021,
20001,20021,1122010,
12002,12200,1111222,
20021,11220,1100001,
21221,10211,1011212,
22222,11120,1001001,
100010,12000,222022,
22000,12000,220020,
20121,11202,212102,
20200,12221,211000,
20120,21202,211000,
11100,21001,211020,
2200,21100,211011,
222,20100,212100,
110,11221,220012,
102002022201221102121,1112,220200,
102002022201221020012,1102,1000100,
102002022201221000201,102002022201221111020,1022122,
102002022201220212120,10000,1221012,
102002022201220222221,121,2001110,
102002022201221011110,121,2001002,
102002022201221100112,11202,1221022,
102002022201221111201,11000,1120100,
10200,11112,1112010,
11220,11021,1120021,
12101,10120,1122020,
12122,11110,1200101,
20100,20222,1122101,
20101,12011,1120010,
20110,102002022201221111121,1101200,
20210,2020,1010210,
22010,21010,1000202,
100110,100001,220010,
21010,20020,212020,
20011,10220,211200,
20120,11212,210100,
12020,21010,212110,
11110,22212,211011,
1110,22210,210122,
102002022201221102121,10010,201112,
102002022201221022021,10001,221001,
102002022201221010200,102002022201221110111,1021102,
102002022201220222212,12021,1220000,
102002022201221010010,11022,1122222,
102002022201221020102,10012,1111102,
102002022201221100111,12111,1112111,
102002022201221102210,11010,1122212,
102002022201221110002,11011,1212222,
21,12120,2000121,
1110,11000,1212200,
2210,10111,1201111,
10200,11112,1120200,
12102,11200,1110001,
12221,2001,1101122,
12111,2100,1102002,
20000,10120,1102011,
20122,11100,1100201,
20220,20002,1022220,
20212,21012,1020102,
21102,21200,1000001,
20220,21122,211100,
20002,11101,210012,
11112,11221,210222,
10210,21112,210212,
1211,22221,212110,
102002022201221111002,21201,211102,
102002022201221101000,12011,1001201,
102002022201221012210,10202,1012022,
102002022201221011200,20100,1022120,
102002022201221010202,11201,1022000,
102002022201221002111,100002,1102210,
102002022201221002011,21020,1200112,
102002022201221010220,12200,1220212,
102002022201221011102,10010,1211122,
102002022201221100222,11222,1122110,
102002022201221110021,20112,1122022,
102002022201221111000,20000,1200201,
102002022201221111200,12000,1202101,
1011,12010,1122110,
10012,20211,1112222,
11101,20011,1110120,
12022,11022,1100201,
12102,112,1021201,
20120,1222,1011200,
21100,12101,1002010,
21221,21112,220202,
21100,100022,211102,
20021,21200,201022,
11221,12100,200021,
11001,12102,201012,
2112,100020,210120,
212,101001,212212,
102002022201221111120,21202,221021,
102002022201221022200,1100,1001220,
102002022201221011220,11101,1021122,
102002022201221001201,11001,1101111,
102002022201220222200,12000,1111212,
102002022201221000012,21221,1200011,
102002022201221010002,21020,1220110,
102002022201221011101,11212,1220100,
102002022201221022222,10202,1201002,
102002022201221101221,1021,1200010,
102002022201221110221,1202,1121001,
102002022201221110222,1001,1120021,
1021,10210,1112010,
2111,11000,1111020,
11101,12002,1111020,
12210,20121,1101220,
20210,20211,1021001,
22002,11101,1002201,
22211,1100,1000000,
22101,10100,221120,
22001,22211,222111,
21021,101221,220011,
12102,22200,220102,
10022,12210,221022,
1111,21012,221001,
102002022201221111100,100100,212221,
102002022201221100000,12111,210011,
102002022201221011100,11020,1001101,
102002022201220221120,22001,1112122,
102002022201220212111,10000,1212122,
102002022201220222202,1212,2002100,
102002022201221022002,11121,1200010,
222,12112,1010010,
2221,12110,222000,
11110,12002,212202,
2221,10021,212220,
212,2000,1000122,
100,2120,1012200,
102002022201221111101,20122,1022110,
102002022201220202122,211210,2210211,
102002022201221020020,1010,1100011,
102002022201221102021,110,1100110,
102002022201221012120,102002022201221111210,1122020,
102002022201221110200,20012,1102122,
102002022201221101221,102002022201221100200,1021001,
1020,101,1100220,
102002022201221111020,102002022201221111002,1100220,
102002022201221101102,10202,1100200,
20011,1211,121002,
202,12221,1122121,
1200,2122,1020221,
102002022201221022121,102002022201221100111,2101220,
102002022201221110010,1021,1121210,
102002022201221111121,102002022201221111121,1110001,
112,120,1101101,
201,102,1100220,
201,202,1101020,
120,112,1101102,
202,121,1101100,
122,101,1100120,
212,1010,1101002,
201,212,1100212,
111,210,1101211,
122,1010,1100222,
12,1000,1101100,
2012,102002022201221011222,1100110,
102002022201221100002,10100,2021022,
102002022201221110211,12202,1120001,
102002022201221111011,102002022201221111210,1001220,
10012,102002022201221110212,1002222,
100,111,1102202,
12,101,1102100,
212,1002,1100211,
122,1001,1101020,
122,222,1101110,
